"","text"
"252"," pas liat harga  tgl  pas sdh d klik  "
"253","salah pilih  konser musik langsung call service center menit     switch    nya   dibantu  flexible kapok"
"254","kapok pesan   kali  hotel asyra makassar   selisih dri rate online   krna malas brdebat krn suami pas lg puyeng  nya sy bayar   dlm hati gondok  kali   cek in trnyata guest housenya sdh tutup   aplikasi yg  merugikan kapok pakai  "
"255","malam  boking  bayar via tf bank   lokasi gabisa cekin   ajukan refund gabisa kecewa banget  gbsa memakai fasilitas kesannya  menyumbang uang"
"256","mantaaaappp  biasaaaaa membantu  perjalanan berpergian serasa mudah "
"257","kembalikan uang   sendri  yg salah sya yg rugi tdk kooperatif pesan hotel  dibayar  deal diinfo kamar penuh   diinfo  ditransfer proses refund  kedepan   yg  uang pasan jd tdk bs pesan hotel   jdnya kontak customer care tdk aktif  whatsapp email web dll jd sya  kontak kemana aplikasi merugikan "
"258","aplikasi error pilih tgl  bokingan tanggal ngak  refund  cs nya  dodol  apk settingan menyesatkan konsumen   direkomendasikan"
"259","customer servicenya cepat tanggap  permasalahan"
"260","  ngambil keuntungan selisih harga  loket bandara    aplikasi  beda     aplikasi recommended "
"261","  fleksibelsalah ketik tgl pesan hotel  menit   bantuan   reschedulditolak  hotel  konfirmasi    rescheduletetap ditolakhmmm  kaku"
"262","app mantap refund or shedule fast respon kl  app ink   diskon or voucer yg  dipakai u pembelian"
"263"," ya   limit kredit paylater   non aktifkan  nya dimana suruh hubungi pelayanan pelanggan gak  direspon gak       "
"264","sampah  reschedule  gx   sistem error mending traveloka aja "
"265","  tolak   mengajukan paylater  data udah  isi  "
"266","pengen paylater   tolak   bagus traveloka  ga ribet langsung  acc"
"267","pesan hotel  etiket gak  keterangannya pesanan kadaluarsa  uang   transfer telpon cs nya berulang kali  responnya  mengecewakan nyesel pakai aplikasi  not recommended"
"268","parah suka banget gangguan ga  buka"
"269","pesan tiket  koneksi bermasalah uda ganti hp ganti jaringan    "
"270","kecewa   disaat membutuhkan rincian  bukti pembayaran pernama penumpang  tersedia informasinya  menampilkan total tagihannya "
"271","parah aplikasi nipu udah pas acara  cek in  gak  daftar cekin  pembayaran udah lunas"
"272","  app    dipercaya jujur    jebak uninstal   app  yg  amanah"
"273"," berkali kali ajukan paylater  disetujui "
"274","beli tiket eventacaranya canceltiketnya refundtp   ga dibalikin dananyakatanya   prosestp  dh  ga dibalikan"
"275","  profesional  memesan tiket tujuan tmc denpasar tgl agustus kode booking    fari  maskapai  pambatalan     konfirmasi bbrpa   nya    penerbangan  tanggal  ssyaa mengajukan pengembalian dana  harga tiket  maskh  potonganyg  kecewakan proses refund nya menunggu  kerja   butuh dana nya     profesional"
"276","gak rekomendasi  tiket paylater  non aktifkan aneh"
"277","kecewa  promo nya  berkurang  paylater nya  non aktif  alasan  "
"278"," disayangkan aplikasinya gampang kebobol  bot "
"279","abis liat youtubenya prediksi bener komplit fiturnya langsung kesini rencana liburan  gampang    bnyk comment jelek mundur alon "
